,0,1,2,3
423,2.0,0.777,73.0,3.18
424,2.0,0.365,38.0,2.64
425,1.0,0.999,116.0,3.3
426,0.0,0.339,11.0,2.99
427,1.0,2.565,64.0,6.1
428,4.0,0.1,1.0,1.0
429,0.0,0.178,6.0,2.0
430,0.0,0.264,39.0,1.23
431,2.0,0.49,50.0,2.58
432,1.0,1.057,38.0,5.59
433,2.0,0.578,120.0,3.71
434,0.0,0.124,1.0,1.0
435,1.0,2.153,218.0,12.03
436,0.0,0.141,4.0,0.82
437,1.0,1.293,125.0,6.98
438,4.0,0.21,58.0,0.77
439,2.0,0.379,27.0,4.42
440,0.0,4.392,1.0,0.0
441,0.0,0.11,2.0,0.45
442,0.0,0.11,2.0,0.45
443,1.0,2.565,64.0,6.1
444,2.0,0.626,81.0,3.86
445,2.0,0.502,32.0,1.52
446,2.0,0.608,74.0,1.66
447,1.0,1.567,208.0,3.51
448,2.0,0.777,73.0,3.18
449,1.0,1.293,125.0,6.98
450,1.0,1.365,178.0,7.8
451,0.0,0.213,8.0,0.0
452,0.0,0.352,29.0,2.53
453,1.0,0.84,27.0,2.29
454,1.0,1.614,150.0,4.69
455,1.0,1.057,103.0,7.05
456,1.0,5.559,365.0,13.78
457,4.0,0.21,58.0,0.77
458,1.0,1.407,21.0,2.26
459,2.0,0.777,73.0,3.18
460,0.0,0.867,10.0,0.0
461,1.0,0.666,36.0,3.24
462,1.0,9.008,537.0,16.48
463,1.0,9.008,537.0,16.48
464,1.0,1.614,150.0,4.69
465,1.0,1.614,150.0,4.69
466,1.0,1.057,103.0,7.05
467,1.0,0.638,87.0,4.72
468,1.0,0.63,64.0,4.79
469,0.0,0.225,8.0,0.0
470,3.0,0.336,33.0,1.5
471,0.0,0.15,14.0,0.0
472,0.0,0.153,7.0,0.0
473,2.0,0.373,48.0,2.58
474,1.0,1.085,143.0,7.08
475,1.0,1.36,174.0,8.78
476,4.0,0.151,12.0,0.86
477,2.0,0.446,43.0,3.07
478,1.0,1.547,167.0,3.82
479,3.0,0.378,9.0,1.25
480,3.0,0.193,14.0,0.43
481,3.0,0.328,82.0,2.12
482,0.0,0.178,6.0,2.0
483,0.0,0.178,6.0,2.0
484,1.0,0.589,41.0,4.81
485,2.0,0.626,81.0,3.86
486,1.0,1.262,119.0,9.11
487,1.0,1.372,114.0,4.89
488,1.0,0.598,51.0,4.97
489,1.0,0.666,36.0,3.24
490,1.0,0.666,36.0,3.24
491,0.0,0.276,16.0,0.0
492,0.0,0.511,26.0,3.1
493,1.0,1.407,21.0,2.26
494,2.0,0.349,92.0,2.85
495,2.0,0.365,24.0,3.87
496,1.0,0.99,332.0,3.04
497,3.0,0.304,58.0,0.68
498,3.0,0.226,6.0,1.27
499,0.0,0.342,12.0,0.0
500,1.0,1.057,103.0,7.05
501,1.0,1.614,150.0,4.69
502,1.0,1.614,150.0,4.69
503,1.0,1.274,79.0,6.77
504,1.0,0.734,114.0,2.89
505,1.0,1.613,133.0,10.45
506,1.0,0.734,114.0,2.89
507,4.0,0.1,1.0,1.0
508,1.0,1.009,30.0,2.4
509,1.0,1.406,62.0,3.24
510,1.0,1.406,62.0,3.24
511,1.0,0.685,79.0,5.23
512,1.0,1.057,103.0,7.05
513,0.0,0.358,12.0,5.62
514,0.0,0.169,10.0,0.97
515,1.0,3.599,390.0,7.14
516,1.0,1.057,103.0,7.05
517,2.0,0.414,28.0,3.04
518,1.0,0.781,94.0,5.42
519,3.0,0.292,50.0,1.59
520,2.0,0.745,71.0,3.03
521,1.0,1.776,129.0,9.26
522,1.0,2.087,51.0,5.11
523,0.0,0.545,124.0,3.52
524,4.0,0.179,48.0,1.65
525,3.0,0.316,67.0,2.52
526,0.0,0.374,7.0,1.83
527,1.0,0.806,124.0,4.41
528,1.0,2.153,218.0,12.03
529,2.0,0.578,120.0,3.71
530,1.0,0.99,332.0,3.04
531,1.0,1.614,150.0,4.69
532,1.0,1.057,103.0,7.05
533,1.0,1.057,103.0,7.05
534,1.0,0.622,62.0,2.34
535,1.0,3.599,390.0,7.14
536,1.0,1.057,103.0,7.05
537,1.0,1.614,150.0,4.69
538,0.0,0.124,7.0,0.0
539,1.0,1.567,208.0,3.51
540,1.0,0.666,36.0,3.24
541,1.0,0.666,36.0,3.24
542,1.0,0.666,36.0,3.24
543,1.0,0.666,36.0,3.24
544,1.0,0.666,36.0,3.24
545,1.0,1.567,208.0,3.51
546,1.0,0.666,36.0,3.24
547,1.0,0.666,36.0,3.24
548,1.0,1.567,208.0,3.51
549,1.0,0.666,36.0,3.24
550,1.0,0.666,36.0,3.24
551,1.0,0.666,36.0,3.24
552,1.0,0.666,36.0,3.24
553,1.0,0.666,36.0,3.24
554,1.0,0.666,36.0,3.24
555,1.0,0.666,36.0,3.24
556,1.0,0.666,36.0,3.24
557,1.0,1.057,103.0,7.05
558,1.0,6.476,342.0,10.03
559,1.0,1.591,153.0,8.41
560,3.0,0.292,50.0,1.59
561,3.0,0.282,80.0,1.04
562,0.0,1.033,39.0,0.0
563,2.0,0.777,73.0,3.18
564,1.0,1.057,103.0,7.05
565,1.0,9.008,537.0,16.48
566,1.0,1.567,208.0,3.51
567,1.0,1.406,62.0,3.24
568,1.0,1.614,150.0,4.69
569,1.0,1.614,150.0,4.69
