,0,1,2,3
582,1.0,3.185,133.0,10.15
583,1.0,3.184,98.0,4.36
584,1.0,3.184,136.0,4.51
585,1.0,3.175,18.0,7.99
586,1.0,3.167,100.0,6.3
587,1.0,3.167,70.0,3.41
588,1.0,3.164,152.0,6.35
589,1.0,3.163,119.0,4.37
590,1.0,3.157,51.0,2.88
591,1.0,3.153,79.0,6.64
592,1.0,3.15,140.0,6.75
593,1.0,3.144,84.0,6.77
594,1.0,3.143,90.0,8.6
595,1.0,3.142,117.0,9.83
596,1.0,3.14,125.0,5.62
597,1.0,3.135,57.0,4.29
598,1.0,3.133,88.0,12.45
599,1.0,3.132,277.0,7.45
600,1.0,3.131,56.0,6.47
601,1.0,3.12,115.0,6.02
602,1.0,3.118,295.0,6.22
603,1.0,3.117,81.0,23.09
604,1.0,3.114,49.0,6.41
605,1.0,3.11,39.0,4.67
606,1.0,3.11,83.0,5.13
607,1.0,3.109,124.0,11.19
608,1.0,3.108,121.0,3.13
609,1.0,3.107,15.0,4.07
610,1.0,3.103,140.0,7.9
611,1.0,3.103,257.0,5.38
612,1.0,3.099,60.0,11.24
613,1.0,3.099,303.0,11.32
614,1.0,3.092,109.0,5.87
615,1.0,3.085,67.0,9.37
616,1.0,3.083,221.0,4.32
617,1.0,3.082,75.0,10.03
618,1.0,3.078,53.0,5.93
619,1.0,3.073,144.0,8.32
620,1.0,3.071,89.0,3.52
621,1.0,3.071,142.0,6.25
622,1.0,3.067,131.0,4.89
623,1.0,3.066,59.0,3.05
624,1.0,3.064,184.0,7.64
625,1.0,3.064,64.0,6.08
626,1.0,3.058,269.0,5.53
627,1.0,3.052,304.0,4.63
628,1.0,3.049,75.0,7.19
629,1.0,3.046,82.0,9.34
630,1.0,3.042,135.0,6.08
631,1.0,3.038,31.0,7.74
632,1.0,3.037,171.0,4.39
633,1.0,3.035,212.0,10.59
634,1.0,3.034,70.0,3.65
635,1.0,3.03,58.0,6.68
636,1.0,3.028,52.0,8.53
637,1.0,3.026,179.0,10.88
638,1.0,3.021,221.0,5.04
639,1.0,3.02,24.0,7.92
640,1.0,3.011,73.0,10.38
641,1.0,3.007,270.0,5.98
642,1.0,3.002,271.0,3.6
643,1.0,3.0,71.0,6.0
644,1.0,2.999,104.0,9.15
645,1.0,2.993,212.0,4.25
646,1.0,2.992,38.0,9.94
647,1.0,2.987,70.0,8.14
648,1.0,2.987,92.0,11.72
649,1.0,2.986,265.0,6.0
650,1.0,2.986,236.0,13.09
651,1.0,2.983,75.0,6.81
652,1.0,2.973,128.0,5.24
653,1.0,2.973,63.0,6.17
654,1.0,2.964,184.0,6.37
655,1.0,2.96,138.0,10.56
656,1.0,2.96,136.0,6.29
657,1.0,2.954,164.0,6.57
658,0.0,2.953,9.0,0.0
659,1.0,2.95,132.0,2.92
660,0.0,2.949,97.0,0.0
661,1.0,2.947,105.0,7.38
662,1.0,2.947,54.0,6.52
663,1.0,2.944,92.0,6.3
664,1.0,2.933,106.0,4.43
665,1.0,2.931,39.0,5.85
666,1.0,2.928,223.0,8.46
667,1.0,2.927,78.0,3.75
668,1.0,2.925,187.0,3.77
669,1.0,2.924,28.0,5.01
670,1.0,2.918,112.0,10.71
671,1.0,2.91,134.0,5.03
672,1.0,2.91,364.0,3.37
673,1.0,2.91,222.0,7.17
674,1.0,2.907,252.0,3.7
675,1.0,2.907,182.0,4.08
676,1.0,2.9,69.0,3.72
677,1.0,2.898,84.0,2.45
678,1.0,2.898,81.0,2.77
679,1.0,2.896,155.0,7.84
680,1.0,2.894,73.0,2.72
681,1.0,2.89,91.0,9.73
682,1.0,2.89,188.0,4.32
683,1.0,2.887,135.0,13.28
684,1.0,2.886,191.0,11.84
685,1.0,2.884,154.0,5.04
686,1.0,2.883,47.0,7.36
687,1.0,2.882,212.0,12.51
688,1.0,2.882,103.0,4.0
689,1.0,2.879,38.0,8.07
690,1.0,2.878,99.0,2.78
691,1.0,2.878,30.0,8.46
692,1.0,2.876,124.0,4.31
693,1.0,2.869,15.0,9.3
694,1.0,2.868,130.0,12.11
695,1.0,2.859,135.0,5.81
696,1.0,2.859,29.0,11.99
697,1.0,2.857,209.0,5.6
698,1.0,2.855,38.0,8.54
699,1.0,2.852,38.0,8.91
700,1.0,2.851,397.0,8.49
701,1.0,2.849,146.0,4.57
702,1.0,2.848,65.0,6.86
703,1.0,2.845,162.0,7.84
704,1.0,2.843,202.0,9.14
705,1.0,2.839,84.0,4.55
706,1.0,2.833,236.0,5.94
707,1.0,2.832,42.0,4.32
708,1.0,2.831,24.0,13.49
709,1.0,2.829,248.0,5.22
